route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
101C,C,Union Station to Littleton-Mineral Station,This Route Travels Northbound & Southbound,0,http://www.rtd-denver.com/Schedules.shtml,F79239,FFFFFF
101D,D,30th & Downing Station to Littleton-Mineral Station,This Route Travels Northbound & Southbound,0,http://www.rtd-denver.com/Schedules.shtml,008348,FFFFFF
101E,E,Union Station to Lincoln Station,This Route Travels Northbound & Southbound,0,http://www.rtd-denver.com/Schedules.shtml,552683,FFFFFF
101F,F,18th & California Station to Lincoln Station,This Route Travels Northbound & Southbound,0,http://www.rtd-denver.com/Schedules.shtml,EE3E33,FFFFFF
101H,H,18th & California Station to Florida Station,This Route Travels Northbound & Southbound,0,http://www.rtd-denver.com/Schedules.shtml,0075BE,FFFFFF
103W,W,Union Station to Jefferson County Government Center-Golden Station,This Route Travels Eastbound & Westbound,0,http://www.rtd-denver.com/Schedules.shtml,009DAA,FFFFFF
A,A,Union Station to Denver Airport Station,This Route Travels Eastbound & Westbound,2,http://www.rtd-denver.com/Schedules.shtml,57C1E9,FFFFFF
113B,B,Union Station to Westminster Station,This Route Travels Eastbound & Westbound,2,http://www.rtd-denver.com/Schedules.shtml,4E9D2D,FFFFFF
107R,R,Lincoln Station to Peoria Station,This Route Travels Northbound & Southbound,0,http://www.rtd-denver.com/Schedules.shtml,C4D600,000000
